YEAR,QUARTER,COUNTRY_NAME,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,age
2015,Q1,AFGHANISTAN,37194,32721,96.7,25
2015,Q1,AUSTRALIA,16676,19075,89.7,23.7
2015,Q1,AUSTRIA,13318,15529,563.8,70
2015,Q1,BAHRAIN,114087,133527,585.7,9.5
2015,Q1,BANGLADESH,76357,75673,624.1,2.9
2015,Q1,BELGIUM,21266,25172,1487.9,41.3
2015,Q1,BHUTAN,6251,6424,0.9,8
2015,Q1,BURMA,9540,9192,0.6,9.2
2015,Q1,CANADA,13272,12611,82.5,85
2015,Q1,CHINA,53072,60558,3212.2,92.6
2015,Q1,EGYPT,2427,3529,29.1,31.5
2015,Q1,ETHIOPIA,27175,33188,154.3,52.4
2015,Q1,FINLAND,13673,15886,685.9,25.4
2015,Q1,FRANCE,88632,97306,4419.6,74.5
2015,Q1,HONG KONG,150400,162576,19278.2,73
2015,Q1,IRAN,9521,8323,25,85.7
2015,Q1,IRAQ,0,0,0,0
2015,Q1,ISRAEL,8664,9773,269.7,5
2015,Q1,ITALY,14727,21846,245.6,94.4
